Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
BGD01,19/12/2018,1734,Omera Petroleum Limited,BGD,COOKING STOVES,"395,911"
BGD01,19/12/2018,1734,Omera Petroleum Limited,BGD,FLUID/ GAS DISTRIBUTION,"1,047,017"
BGD01,19/12/2018,1734,Omera Petroleum Limited,BGD,MAINTENANCE/ CONSTRUCTION SER,"147,918"
BGD01,19/12/2018,1735,Omera Petroleum Limited,BGD,HOUSEHOLD FURNITURE/EQUIPMENT,"6,543,499"
BGD01,19/12/2018,1738,M/S NF Enterprise,BGD,HOUSEHOLD FURNITURE/EQUIPMENT,"1,229,411"
ETH01,19/12/2018,7507,CLS Logistics Services plc,ETH,TRANSPORT SUPPORT,"127,184"
HQSMS,19/12/2018,45210,Schneider Electric France SAS,FRA,LAMP/ LAMP COMPONENTS,"172,762"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,19/12/2018,45214,O.K.I. GENERAL TRADING LLC,ARE,KITCHENWARE,"131,738"
HQSMS,19/12/2018,45217,HCL Technologies Limited,IND,SOFTWARE,"440,711"
HQSMS,19/12/2018,45220,OPEN TEXT AG - SUISSE,CHE,COMPUTER SERVICES,"388,871"
HQSMS,19/12/2018,45223,E-SECURE SARL,CHE,COMPUTER SERVICES,"227,577"
HQSMS,19/12/2018,45225,WHO (UNICC),CHE,COMPUTER SERVICES,"1,249,965"
HQSMS,19/12/2018,45233,Bollore Logistics India Limited,IND,CARGO/PASSENGER TRANSPORT,"101,250"
HQSMS,19/12/2018,45248,ACCENTURE AG,CHE,COMPUTER SERVICES,"252,533"
IQCBI,19/12/2018,16,Iraq Wallet,IRQ,FINANCIAL SERVICES,"1,453,213"
IQCBI,19/12/2018,17,Iraq Wallet,IRQ,BUSINESS/ ADMINISTRATIVE SER,"2,937,026"
IQCBI,19/12/2018,18,Asia Hawala,IRQ,BUSINESS/ ADMINISTRATIVE SER,"222,769"
IRQ01,19/12/2018,3649,Heartland Alliance International,IRQ,BUSINESS/ ADMINISTRATIVE SER,"264,690"
IRQ01,19/12/2018,3651,Al-Najjar Company for Trading & General,IRQ,MAINTENANCE/ CONSTRUCTION SER,"159,035"
